PID	Status	Label
64772	0	application.com.todesktop.230313mzl4w4u92.10912032.10912599
-	0	com.apple.storelegacy
702	0	com.apple.OSDUIHelper
468	0	com.apple.audio.AudioComponentRegistrar
548	0	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
-	0	com.apple.lockoutagent
-	0	com.apple.videosubscriptionsd
534	0	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
489	0	com.apple.notificationcenterui.agent
500	0	com.apple.protectedcloudstorage.protectedcloudkeysyncing
575	0	com.apple.imklaunchagent
460	0	com.apple.FileProvider
-	0	com.apple.imcore.imtransferagent
467	0	com.apple.mobiletimerd
-	0	com.apple.btsa
647	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
3913	0	com.apple.EscrowSecurityAlert
1432	0	com.apple.MTLAssetUpgraderD
-	0	com.apple.ptpcamerad
4210	0	com.apple.metadata.mdwrite
-	78	homebrew.mxcl.gitlab-runner
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	0	com.apple.spotlightknowledged
-	0	com.apple.securityuploadd
3861	0	com.apple.lockdownmoded
-	0	com.apple.companiond
-	0	com.apple.RapportUIAgent
625	0	com.apple.siriknowledged
6212	0	com.apple.powerchime
435	0	com.apple.sharingd
503	0	com.apple.seserviced
-	0	com.apple.iCloudUserNotificationsd
4444	0	com.apple.metrickitd
-	0	com.apple.storeassetd
495	0	com.apple.familycircled
-	0	com.apple.FontRegistryUIAgent
4101	0	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
666	0	com.apple.TextInputSwitcher
438	0	com.apple.intelligentroutingd
4146	0	com.apple.AMPArtworkAgent
526	0	com.apple.imagent
3929	0	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
561	0	com.apple.assistant_cdmd
4042	0	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
4450	0	com.apple.imautomatichistorydeletionagent
444	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
433	0	com.apple.talagent
425	0	com.apple.suggestd
-	0	com.apple.navd
-	0	com.apple.appleidsetupd
-	0	com.apple.RemoteDesktop.agent
552	0	com.apple.iCloudNotificationAgent
549	0	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
673	0	com.apple.Maps.mapssyncd
4015	0	com.apple.swtransparencyd
-	0	com.apple.gputoolsserviced
388	0	com.apple.usernotificationsd
-	0	com.apple.FamilyControlsAgent
12095	0	com.apple.spotlightknowledged.importer
-	0	com.apple.AssistiveControl
-	0	com.apple.mdworker.single.arm64
-	0	com.apple.ContainerMigrationService
398	0	com.apple.secd
431	0	com.apple.hiservices-xpcservice
4144	0	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
-	0	com.epson.RemotePrintIOHelper
542	0	com.apple.assistantd
3866	0	com.apple.siriinferenced
31418	0	com.apple.studentd
-	0	com.apple.FollowUpUI
537	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
459	0	com.apple.uikitsystemapp
461	0	com.apple.controlstrip
3862	0	com.apple.financed
463	0	com.apple.findmy.findmylocateagent
-	0	com.apple.previewsd
611	0	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
65285	0	com.todesktop.230313mzl4w4u92.ShipIt
-	0	com.apple.assessmentagent
-	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
570	0	com.apple.scopedbookmarksagent.xpc
602	0	com.apple.ensemble
4215	0	com.apple.ReportCrash
-	0	com.apple.biomesyncd
4408	0	com.apple.ciphermld
3865	0	com.apple.UsageTrackingAgent
564	0	com.apple.email.maild
451	0	com.apple.donotdisturbd
-	0	com.apple.locationaccessstored
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
-	0	com.apple.Maps.mapspushd
-	0	com.apple.voicememod
-	0	com.apple.gamed
-	0	com.apple.STMUIHelper
-	0	com.apple.intelligencecontextd
381	0	com.apple.knowledge-agent
-	0	com.apple.midiserver
3924	0	com.apple.mobiledeviceupdater
-	0	com.apple.helpd
397	0	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
504	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.diskspaced
-	0	com.google.GoogleUpdater.wake
-	0	com.apple.passd
417	0	application.com.google.Chrome.1893952.10092490
-	0	com.apple.DictationIM
426	0	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
64808	0	com.apple.iCloudHelper
-	0	com.apple.CharacterPicker.FileService
3903	0	com.apple.keychainsharingmessagingd
-	0	com.apple.MessageUIMacHelperService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
4143	0	com.apple.podcasts.PodcastContentService
65377	0	com.apple.mdworker.shared.08000000-0600-0000-0000-000000000000
432	0	com.apple.CoreAuthentication.agent
419	0	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
414	0	com.apple.chronod
638	0	com.apple.accessibility.heard
639	0	com.apple.corespeechd
3859	0	com.apple.geoanalyticsd
-	0	com.apple.AMPSystemPlayerAgent
556	0	com.apple.itunescloudd
-	0	com.apple.scrod
520	0	com.apple.spindump_agent
-	0	com.apple.AquaAppearanceHelper
3902	0	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
464	0	com.apple.milod
-	0	com.apple.bookdatastored
501	0	com.apple.security.keychain-circle-notification
-	0	com.apple.appstorecomponentsd
615	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
-	0	com.apple.XProtect.agent.scan.startup
550	0	com.apple.amsengagementd
4012	0	com.apple.betaenrollmentagent
-	0	com.apple.AirPortBaseStationAgent
4100	0	com.apple.proactiveeventtrackerd
4130	0	com.apple.proactived
675	0	com.apple.ModelCatalogAgent
384	0	com.apple.universalaccessd
517	0	com.apple.linkd
-	0	com.apple.accessibility.MotionTrackingAgent
-	0	com.apple.neagent
661	0	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
-	0	com.apple.recentsd
